# R40.81 DATA-FIELD DANGLING REFS = 153 (CORRECTED from earlier 88 undercount — incomplete field-set missed implementation-singular/parentFolder/tasks/crossRef/refinementOf/coveredRequirements).
# present-unit -> target-unit in NEITHER store (scenario/index NOR the drained data/model-store). Full uuids. Columns: source-uuid<TAB>field<TAB>target-uuid
# OPEN (PO owns the baseline): pre-existing T34.3 stale-ref debris vs migration-introduced loss? Resolve via git-history diff of scenario/index @pre-migration commit.
# DISCRIMINATOR: this count (ALL containment fields, repo-wide) != reconciliation "0 dangling" (that measured dangling WITHIN the migration set only) = DIFFERENT measures, NOT a contradiction/regression.
# by-field: {"parent":46,"parentFolder":8,"implementation":48,"implementations":18,"useCases":15,"crossRef":1,"files":4,"requirements":1,"tasks":5,"children":3,"methods":1,"refinementOf":2,"coveredRequirements":1}
4a25e77b-e522-4915-870a-3399bc4d793a	tasks	5da32d29-0a3b-4bb3-90a5-05ee7e0c0c82
4a4591ca-3806-4034-b9c1-def621c9b452	implementation	094c18a4-77a7-4208-a6a7-6a049e4e332e
4ba25dfa-f2a0-46bc-ac4b-f784c94f06c1	parent	e2cbf193-d116-4eb9-a9f5-6397febf300e
4c7745e3-f4b9-438d-a99d-b7dc3f434a96	implementations	9c4b49aa-f0f2-4c9c-9a30-0cc5d17e71ae
4da22329-6cfc-467a-b7c0-778e0996eed1	parent	f1b4b429-5819-4adf-8da2-92f6e0a8dd7e
4fed4fda-5fc1-4340-a976-a473d2366513	parent	1165c293-3152-4e17-a242-8b7a03e5f3f8
500661d4-e086-4ed1-b33b-0838d16bd645	parent	a4f056d2-463c-4613-8f3b-d3af2069b26c
52750178-a50d-419a-93b6-a578f77e6806	parent	f6909425-8807-4ccc-832d-35c9ed50bd96
52e709ce-2117-4ecc-a5d6-b2a1fc6103e3	children	d5711c61-aa39-48c0-8aba-6404596f2559
555a835d-fa21-4eea-84f9-2c55f7855cf6	parentFolder	1bb8d569-6ef0-4348-8d36-414b97ab35be
